iter	Passed	Remaining
0	5	516
1	11	555
2	17	550
3	21	521
4	26	507
5	31	497
6	36	488
7	42	489
8	47	479
9	52	469
10	58	475
11	63	469
12	68	460
13	73	453
14	78	444
15	83	439
16	89	438
17	94	430
18	100	426
19	105	421
20	109	411
21	114	407
22	121	406
23	125	398
24	131	393
25	136	388
26	141	381
27	146	375
28	151	369
29	155	362
30	160	357
31	165	351
32	169	344
33	175	340
34	180	334
35	184	328
36	190	324
37	197	322
38	203	318
39	208	312
40	212	306
41	214	296
42	219	290
43	222	283
44	225	275
45	228	268
46	231	260
47	234	254
48	239	248
49	241	241
50	244	235
51	247	228
52	251	223
53	254	217
54	256	210
55	259	203
56	262	198
57	266	192
58	269	187
59	272	181
60	275	175
61	278	170
62	282	166
63	286	160
64	289	155
65	292	150
66	295	145
67	299	140
68	301	135
69	304	130
70	307	125
71	311	120
72	314	116
73	317	111
74	320	106
75	324	102
76	327	97
77	330	93
78	333	88
79	336	84
80	340	79
81	344	75
82	347	71
83	350	66
84	353	62
85	356	58
86	360	53
87	364	49
88	367	45
89	370	41
90	373	36
91	376	32
92	379	28
93	383	24
94	386	20
95	390	16
96	393	12
97	396	8
98	400	4
99	404	0
